[21:38:11] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[21:41:22] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:23] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:23] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:23] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:23] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:26] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:26] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:26] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:26] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:27] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:27] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'person', 'truck']
[21:41:27] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'person', 'truck']
[21:41:27] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:28] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:28] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:28] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:31] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:31] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:31] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:31] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'person', 'truck']
[21:41:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[21:41:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:33] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:41:34] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:35] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:35] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:39] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:40] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:41] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:41] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:41] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:41] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:42] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:42] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:42] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:42] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:43] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:43] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:43] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:43] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:44] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:44] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:44] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:44] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:45] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:45] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:45] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:46] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:46] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[21:41:46] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[21:41:46] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[21:41:47] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:47] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:47] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[21:41:47] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:48] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:48] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:48] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:48] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:49] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:49] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:49] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[21:41:49] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
